"roi_num","spatial_roi_num","x","y","z","MNI_Glasser_HCP_v1.0","Brainnetome_1.0","CA_ML_18_MNI"
169,1,-62,-20,-18,"Focus point:  L_Area_TE1_Middle","Focus point:  A21c_left","Focus point:  Left Middle Temporal Gyrus"
56,2,-62,-11,31,"* Within 2 mm: L_Area_1","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
197,3,-61,-34,5,"Focus point:  L_Auditory_5_Complex","Focus point:  rpSTS_left","Focus point:  Left Middle Temporal Gyrus"
73,4,-61,-23,31,"Focus point:  L_Area_PFt","Focus point:  A40rd_left","Focus point:  Left SupraMarginal Gyrus"
135,5,-60,-50,-9,"Focus point:  L_Area_TE1_posterior","Focus point:  A20cl_left","Focus point:  Left Middle Temporal Gyrus"
171,6,-60,-37,-2,"Focus point:  L_Area_STSv_posterior","Focus point:  aSTS_left","Focus point:  Left Middle Temporal Gyrus"
88,7,-60,-36,34,"Focus point:  L_Area_PF_Complex","Focus point:  A40rv_left","Focus point:  Left SupraMarginal Gyrus"
54,8,-60,-18,19,"Focus point:  L_Area_OP4/PV","Focus point:  A1/2/3tonIa_left","Focus point:  Left Postcentral Gyrus"
196,9,-60,-15,-2,"* Within 2 mm: L_Auditory_5_Complex","Focus point:  A22r_left","Focus point:  Left Middle Temporal Gyrus"
87,10,-59,-45,27,"Focus point:  L_PeriSylvian_Language_Area","Focus point:  A40c_left","Focus point:  Left SupraMarginal Gyrus"
134,11,-59,-38,-17,"Focus point:  L_Area_TE2_anterior","Focus point:  A20cl_left","Focus point:  Left Inferior Temporal Gyrus"
52,12,-59,-3,12,"Focus point:  L_Area_43","Focus point:  A4tl_left","Focus point:  Left Rolandic Operculum"
123,13,-58,-43,44,"Focus point:  L_Area_PF_Complex","Focus point:  A40c_left","Focus point:  Left Inferior Parietal Lobule"
49,14,-58,-38,17,"Focus point:  L_Auditory_4_Complex","Focus point:  A41/42_left","Focus point:  Left Superior Temporal Gyrus"
55,15,-58,-3,24,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4hf_left","Focus point:  Left Postcentral Gyrus"
200,16,-57,-49,16,"Focus point:  L_Superior_Temporal_Visual_Area","Focus point:  cpSTS_left","Focus point:  Left Superior Temporal Gyrus"
45,17,-56,-22,8,"Focus point:  L_ParaBelt_Complex","Focus point:  TE1.0_1.2_left","Focus point:  Left Superior Temporal Gyrus"
170,18,-56,-11,-13,"Focus point:  L_Area_STSv_anterior","Focus point:  aSTS_left","Focus point:  Left Middle Temporal Gyrus"
199,19,-55,-55,10,"* Within 1 mm: L_Area_PHT","Focus point:  cpSTS_left","Focus point:  Left Middle Temporal Gyrus"
174,20,-55,-55,29,"Focus point:  L_Area_PFm_Complex","Focus point:  A39rv_left","Focus point:  Left Angular Gyrus"
121,21,-54,-62,-1,"Focus point:  L_Area_PHT","Focus point:  A37vl_left","Focus point:  Left Middle Temporal Gyrus"
86,22,-54,-33,23,"Focus point:  L_Area_PFcm","Focus point:  A40rv_left","Focus point:  Left Superior Temporal Gyrus"
168,23,-54,-2,-27,"Focus point:  L_Area_STSv_anterior","Focus point:  A21r_left","Focus point:  Left Middle Temporal Gyrus"
75,24,-53,-31,43,"Focus point:  L_Area_PFt","Focus point:  A40rd_left","Focus point:  Left Inferior Parietal Lobule"
117,25,-53,-22,-29,"Focus point:  L_Area_TE2_posterior","Focus point:  A20cv_left","Focus point:  Left Inferior Temporal Gyrus"
74,26,-53,-20,39,"Focus point:  L_Area_2","Focus point:  A2_left","Focus point:  Left Inferior Parietal Lobule"
195,27,-53,4,-11,"* Within 1 mm: L_Area_TA2","Focus point:  A22r_left","Focus point:  Left Superior Temporal Gyrus"
187,28,-53,21,13,"Focus point:  L_Area_45","Focus point:  A45c_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
137,29,-52,-52,44,"* Within 1 mm: L_Area_PFm_Complex","Focus point:  A40c_left","Focus point:  Left Inferior Parietal Lobule"
57,30,-52,-10,30,"Focus point:  L_Primary_Sensory_Cortex","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
198,31,-51,-45,5,"Focus point:  L_Area_STSd_posterior","Focus point:  rpSTS_left","Focus point:  Left Middle Temporal Gyrus"
172,32,-51,-25,-5,"Focus point:  L_Area_STSd_posterior","Focus point:  A22c_left","Focus point:  Left Middle Temporal Gyrus"
94,33,-51,10,13,"Focus point:  L_Rostral_Area_6","Focus point:  A44v_left","Focus point:  Left Inferior Frontal Gyrus (p. Opercularis)"
44,34,-50,-10,1,"Focus point:  L_Medial_Belt_Complex","Focus point:  TE1.0_1.2_left","Focus point:  Left Superior Temporal Gyrus"
58,35,-50,-8,43,"* Within 1 mm: L_Area_55b","Focus point:  A4hf_left","Focus point:  Left Postcentral Gyrus"
93,36,-50,1,5,"Focus point:  L_Frontal_Opercular_Area_1","Focus point:  A4tl_left","Focus point:  Left Rolandic Operculum"
85,37,-49,1,37,"Focus point:  L_Premotor_Eye_Fields","Focus point:  A6cvl_left","Focus point:  Left Precentral Gyrus"
62,38,-48,-55,-15,"Focus point:  L_Area_TE2_posterior","Focus point:  A37lv_left","Focus point:  Left Inferior Temporal Gyrus"
53,39,-48,-25,18,"Focus point:  L_Area_OP1/SII","Focus point:  A40rv_left","Focus point:  Left Rolandic Operculum"
51,40,-48,-14,14,"Focus point:  L_Area_OP4/PV","Focus point:  A1/2/3tonIa_left","Focus point:  Left Rolandic Operculum"
130,41,-48,6,25,"Focus point:  L_Rostral_Area_6","Focus point:  A6cvl_left","Focus point:  Left Inferior Frontal Gyrus (p. Opercularis)"
149,42,-47,-64,29,"Focus point:  L_Area_PGi","Focus point:  A39rv_left","Focus point:  Left Angular Gyrus"
27,43,-47,-19,53,"* Within 1 mm: L_Primary_Sensory_Cortex","* Within 1 mm: A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
59,44,-47,-17,39,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
186,45,-47,27,1,"* Within 1 mm: L_Area_45","Focus point:  A44op_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
64,46,-46,-68,14,"Focus point:  L_Medial_Superior_Temporal_Area","Focus point:  A39rv_left","Focus point:  Left Middle Temporal Gyrus"
136,47,-46,-62,46,"* Within 2 mm: L_Area_PFm_Complex","Focus point:  A39rd_left","Focus point:  Left Angular Gyrus"
28,48,-46,-30,56,"* Within 2 mm: L_Area_1","Focus point:  A2_left","Focus point:  Left Postcentral Gyrus"
185,49,-46,33,-10,"Focus point:  L_Area_47l_(47_lateral)","Focus point:  A12/47l_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
128,50,-46,35,11,"Focus point:  L_Area__IFSa","Focus point:  IFS_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
8,51,-45,-73,4,"Focus point:  L_Area_FST","Focus point:  V5/MT+_left","Focus point:  Left Middle Occipital Gyrus"
173,52,-45,-59,19,"Focus point:  L_Area_TemporoParietoOccipital_Junction_2","Focus point:  A39rv_left","Focus point:  Left Middle Temporal Gyrus"
125,53,-45,-43,47,"Focus point:  L_Anterior_IntraParietal_Area","Focus point:  A40rd_left","Focus point:  Left Inferior Parietal Lobule"
60,54,-44,-42,-21,"Focus point:  L_Area_TE2_posterior","Focus point:  A37lv_left","Focus point:  Left Fusiform Gyrus"
120,55,-44,4,-16,"* Within 1 mm: L_Para-Insular_Area","Focus point:  A38l_left","Focus point:  Left Temporal Pole"
131,56,-44,21,27,"Focus point:  L_Area_8C","Focus point:  IFJ_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
63,57,-43,-71,-9,"Focus point:  L_Area_PH","Focus point:  A37lv_left","Focus point:  Left Inferior Occipital Gyrus"
76,58,-43,-30,39,"Focus point:  L_Anterior_IntraParietal_Area","Focus point:  A40rd_left","Focus point:  Left Inferior Parietal Lobule"
167,59,-43,12,-33,"Focus point:  L_Area_TG_dorsal","Focus point:  A21r_left","Focus point:  Left Medial Temporal Pole"
106,60,-43,14,3,"Focus point:  L_Frontal_Opercular_Area_4","Focus point:  A44op_left","Focus point:  Left Insula Lobe"
182,61,-42,5,47,"Focus point:  L_Area_55b","Focus point:  IFJ_left","Focus point:  Left Precentral Gyrus"
188,62,-41,-78,28,"Focus point:  L_Area_PGp","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
50,63,-41,-35,15,"Focus point:  L_RetroInsular_Cortex","Focus point:  A40rv_left","Focus point:  Left Superior Temporal Gyrus"
129,64,-41,38,22,"* Within 1 mm: L_Area_46","Focus point:  A9/46v_left","Focus point:  Left Middle Frontal Gyrus"
140,65,-41,48,-5,"Focus point:  L_Area_posterior_47r","Focus point:  A12/47l_left","Focus point:  Left Middle Orbital Gyrus"
6,66,-40,-86,-5,"Focus point:  L_Posterior_InferoTemporal","Focus point:  iOccG_left","Focus point:  Left Middle Occipital Gyrus"
150,67,-40,-72,41,"Focus point:  L_Area_PGs","Focus point:  A39rv_left","Focus point:  Left Angular Gyrus"
118,68,-40,-21,-25,"Focus point:  L_Area_TF","Focus point:  A37lv_left","Focus point:  Left Inferior Temporal Gyrus"
90,69,-40,-15,-1,"Focus point:  L_Area_Posterior_Insular_1","Focus point:  G_left","Focus point:  Left Superior Temporal Gyrus"
82,70,-40,-4,51,"Focus point:  L_Frontal_Eye_Fields","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
181,71,-40,16,46,"Focus point:  L_Area_8Av","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
138,72,-39,-53,46,"Focus point:  L_Area_PFm_Complex","Focus point:  A39rd_left","Focus point:  Left Inferior Parietal Lobule"
26,73,-39,-14,48,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4hf_left","Focus point:  Left Postcentral Gyrus"
89,74,-39,2,-4,"Focus point:  L_Posterior_Insular_Area_2","Focus point:  vId/vIg_left","Focus point:  Left Insula Lobe"
10,75,-38,-84,12,"Focus point:  L_Area_V3CD","Focus point:  mOccG_left","Focus point:  Left Middle Occipital Gyrus"
47,76,-38,-9,13,"Focus point:  L_Posterior_Insular_Area_2","Focus point:  dIg_left","Focus point:  Left Insula Lobe"
114,77,-38,-6,-41,"* Within 1 mm: L_Area_TF","Focus point:  A20rv_left","Focus point:  Left Inferior Temporal Gyrus"
101,78,-38,50,12,"Focus point:  L_Area_anterior_9-46v","Focus point:  A9/46v_left","Focus point:  Left Middle Frontal Gyrus"
29,79,-37,-26,49,"Focus point:  L_Area_3a","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
103,80,-37,30,37,"Focus point:  L_Area_46","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
77,81,-36,-37,44,"Focus point:  L_Anterior_IntraParietal_Area","Focus point:  A2_left","Focus point:  Left Inferior Parietal Lobule"
48,82,-36,-26,19,"Focus point:  L_Area_OP2-3/VS","Focus point:  G_left","Focus point:  Left Rolandic Operculum"
46,83,-36,-24,11,"Focus point:  L_Medial_Belt_Complex","Focus point:  G_left","Focus point:  Left Heschls Gyrus"
92,84,-36,5,11,"Focus point:  L_Frontal_Opercular_Area_3","Focus point:  dId_left","Focus point:  Left Insula Lobe"
132,85,-36,7,33,"Focus point:  L_Area_8C","Focus point:  IFJ_left","Focus point:  Left Precentral Gyrus"
1,86,-35,-61,-17,"Focus point:  L_Ventral_Visual_Complex","Focus point:  A37mv_left","Focus point:  Left Fusiform Gyrus"
70,87,-35,-50,54,"Focus point:  L_Area_Lateral_IntraParietal_ventral","Focus point:  A5l_left","Focus point:  Left Inferior Parietal Lobule"
183,88,-35,22,-15,"Focus point:  L_Area_47s","Focus point:  A12/47o_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
184,89,-35,36,-12,"Focus point:  L_Area_47m","Focus point:  A12/47o_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
